Device ID,First Backup Status,First Backup Size,System Settings Backup,Time Taken,OS Platform,Device OS,User ID
1479069,Complete,132.65,Not Backed Up,0:02,Windows,Win 10,270878
1472759,Complete,8707.71,Not Backed Up,2:48,Windows,Win 10,245670
1470110,Complete,246.78,Not Backed Up,0:02,Windows,Win 10,245514
1466006,Complete,88.24,Not Backed Up,0:45,Windows,Win 10,1217966
1465797,Complete,169.79,Not Backed Up,1:27,Windows,Win 10,240487
1465653,Complete,90.77,Not Backed Up,0:32,Windows,Win 10,1217877
1465588,Complete,121.27,Not Backed Up,0:06,Windows,Win 10,450468
1465540,Complete,4692.29,Not Backed Up,2:54,Mac OS X,Mojave,240952
1463806,Complete,122.82,Not Backed Up,0:03,Windows,Win 10,673965
1463486,Complete,164.53,Not Backed Up,0:06,Mac OS X,Catalina,183252
1462778,Complete,232.87,Not Backed Up,0:23,Windows,Win 10,247989
1460129,Complete,137.98,Not Backed Up,0:02,Windows,Win 10,1214653
1457096,Complete,159.78,Not Backed Up,0:02,Windows,Win 10,1208735
1455085,Complete,102.79,Not Backed Up,0:02,Windows,Win 7,237358
1452530,Complete,28.51,Not Backed Up,0:21,Mac OS X,Catalina,1210264
1452385,Complete,147.45,Not Backed Up,0:03,Windows,Win 10,242335
1452141,Complete,16545.39,Not Backed Up,3:50,Mac OS X,Catalina,1209850
1450578,Complete,27.96,Not Backed Up,0:00,Mac OS X,Mojave,1208939
1450176,Complete,23.81,Not Backed Up,0:04,Mac OS X,Catalina,1208795
1446659,Complete,128.67,Not Backed Up,0:02,Windows,Win 10,245637
1442916,Complete,130.73,Not Backed Up,0:02,Windows,Win 10,240831
1442604,Complete,162.49,Not Backed Up,0:02,Windows,Win 10,249237
1442476,Complete,205.13,Not Backed Up,0:18,Windows,Win 10,238889
1438418,Complete,1635.09,Not Backed Up,6:40,Windows,Win 7,1112452
1429937,Complete,2.07,Not Backed Up,0:00,Mac OS X,Mojave,1197541
1429829,Complete,9562.97,Not Backed Up,1:48,Mac OS X,Catalina,1197501
1429798,Complete,636.97,Not Backed Up,0:42,Windows,Win 10,238222
1429675,Complete,212.62,Not Backed Up,0:16,Windows,Win 10,1197385
1429613,Complete,125.22,Not Backed Up,0:02,Windows,Win 10,1197370
1425560,Complete,989.35,Not Backed Up,0:13,Windows,Win 10,1015784
1423751,Complete,109.68,Not Backed Up,0:02,Windows,Win 7,189930
1423629,Complete,10756.83,Not Backed Up,3:10,Windows,Win 10,252270
1423411,Complete,88.44,Not Backed Up,0:02,Windows,Win 10,240931
1419135,Complete,2735.05,Not Backed Up,1:16,Windows,Win 7,747554
1418874,Complete,129.96,Not Backed Up,0:01,Windows,Win 10,732796
1418368,Complete,137.55,Not Backed Up,0:02,Windows,Win 10,1190886
1418103,Complete,195.43,Not Backed Up,0:18,Windows,Win 10,383098
1415410,Complete,4516.32,Not Backed Up,1:13,Mac OS X,Sierra,238246
1415221,Complete,158.16,Not Backed Up,0:10,Windows,Win 10,1189195
1415219,Complete,336.39,Not Backed Up,0:19,Windows,Win 10,1189194
1414790,Complete,100.19,Not Backed Up,0:04,Windows,Win 10,237598
1408421,Complete,198.27,Not Backed Up,0:12,Windows,Win 10,254652
1406160,Complete,1.87,Not Backed Up,0:00,Mac OS X,Mojave,1184502
1398740,Complete,129.78,Not Backed Up,0:02,Windows,Win 10,1179693
1398479,Complete,137.78,Not Backed Up,0:03,Windows,Win 10,379273
1397895,Complete,4999.09,Not Backed Up,4:10,Windows,Win 10,237695
1388644,Complete,121.65,Not Backed Up,0:03,Windows,Win 10,281759
1388009,Complete,122.76,Not Backed Up,0:02,Windows,Win 10,1169877
1387456,Complete,123.35,Not Backed Up,0:03,Windows,Win 10,326586
1387047,Complete,165.32,Not Backed Up,0:04,Windows,Win 10,1169353
1381918,Complete,128.98,Not Backed Up,0:02,Windows,Win 10,199177
1381790,Complete,165.64,Not Backed Up,0:03,Windows,Win 10,1015784
1381676,Complete,178.23,Not Backed Up,0:05,Windows,Win 10,424792
1381050,Complete,129.99,Not Backed Up,0:02,Windows,Win 10,1161506
1377593,Complete,99.01,Not Backed Up,0:02,Windows,Win 10,237668
1375705,Complete,111.21,Not Backed Up,0:03,Windows,Win 7,237332
1373981,Complete,1.61,Not Backed Up,0:00,Mac OS X,Catalina,795447
1372996,Complete,244.59,Not Backed Up,0:07,Windows,Win 10,611452
1370727,Complete,238.03,Not Backed Up,0:02,Windows,Win 10,663778
1370214,Complete,31496.81,Not Backed Up,0:53,Mac OS X,Catalina,385651
1370180,Complete,142.94,Not Backed Up,0:02,Windows,Win 10,249573
1369585,Complete,116.96,Not Backed Up,0:02,Windows,Win 10,240922
1367919,Complete,199.40,Not Backed Up,0:02,Windows,Win 10,663778
1366509,Complete,3000.90,Not Backed Up,4:50,Windows,Win 10,240318
1352780,Complete,632.46,Not Backed Up,0:11,Windows,Win 10,1150175
1352543,Complete,635.75,Not Backed Up,0:06,Windows,Win 10,1150074
1351872,Complete,24881.25,Not Backed Up,2:20,Windows,Win 10,1149840
1351846,Complete,189.58,Not Backed Up,0:04,Windows,Win 10,1149833
1348020,Complete,84.90,Not Backed Up,0:09,Windows,Win 7,238141
1347546,Complete,123.88,Not Backed Up,0:03,Windows,Win 7,452896
1344687,Complete,114.59,Not Backed Up,0:02,Windows,Win 10,240462
1344664,Complete,33585.46,Not Backed Up,0:30,Mac OS X,Sierra,242987
1340250,Complete,471.00,Not Backed Up,0:09,Windows,Win 10,237787
1338414,Complete,75009.79,Not Backed Up,71:21,Windows,Win 10,1143744
1334894,Complete,131.76,Not Backed Up,0:05,Windows,Win 10,242921
1331964,Complete,129.47,Not Backed Up,0:02,Windows,Win 10,233301
1331780,Complete,216.01,Not Backed Up,0:04,Windows,Win 10,239968
1331479,Complete,137.37,Not Backed Up,0:04,Windows,Win 10,1124834
1331078,Complete,152.06,Not Backed Up,0:05,Windows,Win 10,1124834
1330832,Complete,187.36,Not Backed Up,0:03,Windows,Win 10,1124735
1330696,Complete,271.31,Not Backed Up,0:03,Windows,Win 10,240945
1325282,Complete,131.27,Not Backed Up,0:02,Windows,Win 10,233301
1323432,Complete,86.91,Not Backed Up,0:01,Windows,Win 10,237639
1323229,Complete,15.87,Not Backed Up,0:00,Mac OS X,Sierra,1007788
1318963,Complete,133.86,Not Backed Up,0:02,Windows,Win 10,241009
1318323,Complete,97.81,Not Backed Up,0:02,Windows,Win 7,238093
1310734,Complete,162.72,Not Backed Up,0:03,Windows,Win 10,352823
1306163,Complete,1306.72,Not Backed Up,0:14,Windows,Win 10,577531
1304704,Complete,3.92,Not Backed Up,0:00,Mac OS X,Mojave,245652
1303750,Complete,297.37,Not Backed Up,1:15,Windows,Win 10,1104421
1303576,Complete,224.31,Not Backed Up,0:06,Windows,Win 10,1104350
1302248,Complete,124.96,Not Backed Up,0:03,Windows,Win 10,743941
1299270,Complete,103.63,Not Backed Up,0:02,Windows,Win 7,999607
1293350,Complete,118.38,Not Backed Up,0:05,Windows,Win 10,1089003
1285072,Complete,42.30,Not Backed Up,0:02,Mac OS X,Mojave,237167
1279913,Complete,1084.11,Not Backed Up,0:11,Windows,Win 10,401034
1275950,Complete,139.62,Not Backed Up,0:02,Windows,Win 10,282801
1275936,Complete,136.11,Not Backed Up,0:02,Windows,Win 10,196059
1274729,Complete,161.75,Not Backed Up,0:02,Windows,Win 10,1089410
1274639,Complete,169.42,Not Backed Up,0:03,Windows,Win 10,1089175
1264611,Complete,11.35,Not Backed Up,0:00,Mac OS X,Mojave,169842
1263612,Complete,5158.29,Not Backed Up,1:20,Windows,Win 10,1081881
1263340,Complete,179.22,Not Backed Up,0:03,Windows,Win 7,360972
1259036,Complete,93.05,Not Backed Up,0:01,Windows,Win 7,360972
1255520,Complete,126.30,Not Backed Up,0:03,Windows,Win 10,1046433
1252706,Complete,197.99,Not Backed Up,0:03,Windows,Win 10,237329
1252703,Complete,157.55,Not Backed Up,0:21,Windows,Win 10,630624
1252517,Complete,116.80,Not Backed Up,0:03,Windows,Win 10,1072014
1251975,Complete,953.83,Not Backed Up,0:27,Windows,Win 10,1071779
1247419,Complete,116.84,Not Backed Up,0:02,Windows,Win 10,971197
1242462,Complete,3346.97,Not Backed Up,1:12,Windows,Win 7,971197
1242346,Complete,132.20,Not Backed Up,0:18,Windows,Win 10,241244
1237611,Complete,177.32,Not Backed Up,0:02,Windows,Win 10,261752
1237020,Complete,39.17,Not Backed Up,0:01,Windows,Win 10,250915
1236790,Complete,725.77,Not Backed Up,2:05,Windows,Win 10,1060782
1235888,Complete,543.14,Not Backed Up,0:05,Mac OS X,Mojave,615502
1235824,Complete,15.02,Not Backed Up,0:00,Mac OS X,Catalina,238236
1235510,Complete,190.22,Not Backed Up,0:02,Windows,Win 10,352191
1233601,Complete,132.43,Not Backed Up,0:02,Windows,Win 10,1058955
1233522,Complete,142.45,Not Backed Up,0:02,Windows,Win 10,1058926
1231966,Complete,157.40,Not Backed Up,0:01,Windows,Win 10,352191
1231710,Complete,94.30,Not Backed Up,0:02,Windows,Win 10,233467
1231393,Complete,2.04,Not Backed Up,0:00,Mac OS X,Mojave,324732
1230271,Complete,155.95,Not Backed Up,0:06,Windows,Win 10,614204
1229990,Complete,168.98,Not Backed Up,0:04,Windows,Win 10,1039820
1228108,Complete,10114.40,Not Backed Up,0:17,Mac OS X,Sierra,154478
1228093,Complete,187.70,Not Backed Up,0:40,Windows,Win 10,307184
1227863,Complete,146.32,Not Backed Up,0:03,Windows,Win 10,238093
1227781,Complete,109.85,Not Backed Up,0:03,Windows,Win 10,183290
1226218,Complete,137.04,Not Backed Up,0:02,Windows,Win 10,1051900
1226132,Complete,137.20,Not Backed Up,0:02,Windows,Win 10,183282
1225997,Complete,141.57,Not Backed Up,0:07,Windows,Win 10,465963
1225744,Complete,391.66,Not Backed Up,0:05,Windows,Win 10,1051900
1225659,Complete,34.30,Not Backed Up,0:07,Windows,Win 10,250915
1224071,Complete,38.62,Not Backed Up,8:45,Windows,Win 10,250915
1223919,Complete,2.03,Not Backed Up,0:00,Mac OS X,Mojave,1046541
1223899,Complete,1.99,Not Backed Up,0:00,Mac OS X,Mojave,1046535
1223779,Complete,157.83,Not Backed Up,0:02,Windows,Win 10,1046412
1219610,Complete,28883.88,Not Backed Up,5:51,Mac OS X,Sierra,238475
1219607,Complete,509.54,Not Backed Up,0:39,Windows,Win 10,720230
1219553,Complete,40.32,Not Backed Up,0:04,Windows,Win 10,250915
1219552,Complete,35.21,Not Backed Up,0:08,Windows,Win 10,250915
1219326,Complete,35.83,Not Backed Up,0:11,Windows,Win 10,250915
1219085,Complete,147.82,Not Backed Up,0:02,Windows,Win 10,991895
1217256,Complete,118.80,Not Backed Up,0:04,Windows,Win 10,236257
1215808,Complete,132.83,Not Backed Up,0:03,Windows,Win 10,1042810
1213622,Complete,220.58,Not Backed Up,0:03,Windows,Win 10,237359
1213340,Complete,7.07,Not Backed Up,0:00,Mac OS X,Mojave,182790
1210036,Complete,133.84,Not Backed Up,0:04,Windows,Win 10,1039828
1210012,Complete,179.54,Not Backed Up,0:03,Windows,Win 10,1039821
1210010,Complete,178.11,Not Backed Up,0:04,Windows,Win 10,1039820
1207133,Complete,173.83,Not Backed Up,2:21,Windows,Win 10,237104
1196772,Complete,132.47,Not Backed Up,0:04,Windows,Win 10,237616
1196338,Complete,173.00,Not Backed Up,0:01,Windows,Win 10,238619
1196305,Complete,129.90,Not Backed Up,0:03,Windows,Win 7,284703
1195389,Complete,9908.07,Not Backed Up,1:49,Windows,Win 10,1015784
1193518,Complete,101.28,Not Backed Up,0:03,Windows,Win 10,761946
1193185,Complete,92.49,Not Backed Up,0:03,Windows,Win 7,1030287
1192586,Complete,201.70,Not Backed Up,0:07,Windows,Win 10,1030203
1192239,Complete,2.23,Not Backed Up,0:00,Mac OS X,Mojave,1029755
